1. MSAdodcLib.Adodc.ConnectionString, String  
212. MSMask.MaskEdBox.Name, String  
213. MSMask.MaskEdBox.TabIndex, Integer  
214. MSMask.MaskEdBox.Top, Single  
215. MSMask.MaskEdBox.Value, Variant  
216. MSMask.MaskEdBox.Visible, Boolean  
217. MSMask.MaskEdBox.Width, Single  
218. MSWinsockLib.Winsock.BackColor, Long  
219. MSWinsockLib.Winsock.Enabled, Boolean  
220. MSWinsockLib.Winsock.Font, StdFont  
221. MSWinsockLib.Winsock.Height, Single  
222. MSWinsockLib.Winsock.Left, Single  
223. MSWinsockLib.Winsock.Name, String  
224. MSWinsockLib.Winsock.TabIndex, Integer  
225. MSWinsockLib.Winsock.Top, Single  
226. MSWinsockLib.Winsock.Value, Variant  
227. MSWinsockLib.Winsock.Visible, Boolean  
228. MSWinsockLib.Winsock.Width, Single  
229. PdfLib.Pdf.BackColor, Long  
230. PdfLib.Pdf.Enabled, Boolean  
231. PdfLib.Pdf.Font, StdFont  
232. PdfLib.Pdf.ForeColor, Long  
233. PdfLib.Pdf.Height, Single  
234. PdfLib.Pdf.Left, Single  
235. PdfLib.Pdf.Name, String  
236. PdfLib.Pdf.TabIndex, Integer  
237. PdfLib.Pdf.Top, Single  
238. PdfLib.Pdf.Value, Variant  
239. PdfLib.Pdf.Visible, Boolean  
240. PdfLib.Pdf.Width, Single  
241. PhoneType.CPhone.BackColor, Long  
242. PhoneType.CPhone.Enabled, Boolean  
243. PhoneType.CPhone.Height, Single  
244. PhoneType.CPhone.Left, Single  
245. PhoneType.CPhone.Name, String  
246. PhoneType.CPhone.TabIndex, Integer  
247. PhoneType.CPhone.Top, Single  
248. PhoneType.CPhone.Value, Variant  
249. PhoneType.CPhone.Visible, Boolean  
250. PhoneType.CPhone.Width, Single  
251. RichTextLib.RichTextBox.BackColor, Long  
252. RichTextLib.RichTextBox.Enabled, Boolean  
253. RichTextLib.RichTextBox.Height, Single  
254. RichTextLib.RichTextBox.Left, Single  
255. RichTextLib.RichTextBox.Name, String  
256. RichTextLib.RichTextBox.TabIndex, Integer  
257. RichTextLib.RichTextBox.Top, Single  
258. RichTextLib.RichTextBox.Value, Variant  
259. RichTextLib.RichTextBox.Visible, Boolean  
260. RichTextLib.RichTextBox.Width, Single  
261. Splitter.SplitterCtrl.BackColor, Long  
262. Splitter.SplitterCtrl.Enabled, Boolean  
263. Splitter.SplitterCtrl.Font, StdFont  
264. Splitter.SplitterCtrl.ForeColor, Long  
265. Splitter.SplitterCtrl.Height, Single  
266. Splitter.SplitterCtrl.Left, Single  
267. Splitter.SplitterCtrl.Name, String  
268. Splitter.SplitterCtrl.TabIndex, Integer  
269. Splitter.SplitterCtrl.Top, Single  
270. Splitter.SplitterCtrl.Value, Variant  
271. Splitter.SplitterCtrl.Visible, Boolean  
272. Splitter.SplitterCtrl.Width, Single  
273. SSDataWidgets_B.SSDBCombo.BackColor, Long  
274. SSDataWidgets_B.SSDBCombo.Caption, String  
275. SSDataWidgets_B.SSDBCombo.Enabled, Boolean  
276. SSDataWidgets_B.SSDBCombo.Font, StdFont  
277. SSDataWidgets_B.SSDBCombo.ForeColor, Long  
278. SSDataWidgets_B.SSDBCombo.Height, Single  
279. SSDataWidgets_B.SSDBCombo.Left, Single  
280. SSDataWidgets_B.SSDBCombo.Name, String  
281. SSDataWidgets_B.SSDBCombo.TabIndex, Integer  
282. SSDataWidgets_B.SSDBCombo.Value, Variant  
283. SSDataWidgets_B.SSDBCombo.Visible, Boolean  
284. SSDataWidgets_B.SSDBCombo.Width, Single  
285. SSDataWidgets_B.SSDBDropDown.BackColor, Long  
286. SSDataWidgets_B.SSDBDropDown.Caption, String  
287. SSDataWidgets_B.SSDBDropDown.Enabled, Boolean  
288. SSDataWidgets_B.SSDBDropDown.Font, StdFont  
289. SSDataWidgets_B.SSDBDropDown.ForeColor, Long  
290. SSDataWidgets_B.SSDBDropDown.Height, Single  
291. SSDataWidgets_B.SSDBDropDown.Left, Single  
292. SSDataWidgets_B.SSDBDropDown.Name, String  
293. SSDataWidgets_B.SSDBDropDown.TabIndex, Integer  
294. SSDataWidgets_B.SSDBDropDown.Value, Variant  
295. SSDataWidgets_B.SSDBDropDown.Visible, Boolean  
296. SSDataWidgets_B.SSDBDropDown.Width, Single  
297. SSDataWidgets_B.SSDBGrid.BackColor, Long  
298. SSDataWidgets_B.SSDBGrid.Enabled, Boolean  
299. SSDataWidgets_B.SSDBGrid.Font, StdFont  
300. SSDataWidgets_B.SSDBGrid.ForeColor, Long  
301. SSDataWidgets_B.SSDBGrid.Height, Single  
302. SSDataWidgets_B.SSDBGrid.Name, String  
303. SSDataWidgets_B.SSDBGrid.TabIndex, Integer  
304. SSDataWidgets_B.SSDBGrid.Text, String  
305. SSDataWidgets_B.SSDBGrid.Value, Variant  
306. SSDataWidgets_B.SSDBGrid.Visible, Boolean  
307. SSDataWidgets_B.SSDBGrid.Width, Single  
308. SSDataWidgets_B_OLEDB.SSOleDBCombo.BackColor, Long  
309. SSDataWidgets_B_OLEDB.SSOleDBCombo.Enabled, Boolean  
310. SSDataWidgets_B_OLEDB.SSOleDBCombo.Font, StdFont  
311. SSDataWidgets_B_OLEDB.SSOleDBCombo.ForeColor, Long  
312. SSDataWidgets_B_OLEDB.SSOleDBCombo.Height, Single  
313. SSDataWidgets_B_OLEDB.SSOleDBCombo.Left, Single  
314. SSDataWidgets_B_OLEDB.SSOleDBCombo.Name, String  
315. SSDataWidgets_B_OLEDB.SSOleDBCombo.TabIndex, Integer  
316. SSDataWidgets_B_OLEDB.SSOleDBCombo.Value, Variant  
317. SSDataWidgets_B_OLEDB.SSOleDBCombo.Visible, Boolean  
318. SSDataWidgets_B_OLEDB.SSOleDBCombo.Width, Single  
319. SSDataWidgets_B_OLEDB.SSOleDBGrid.BackColor, Long  
320. SSDataWidgets_B_OLEDB.SSOleDBGrid.Caption, String  
321. SSDataWidgets_B_OLEDB.SSOleDBGrid.Enabled, Boolean  
322. SSDataWidgets_B_OLEDB.SSOleDBGrid.Font, StdFont  
323. SSDataWidgets_B_OLEDB.SSOleDBGrid.ForeColor, Long  
324. SSDataWidgets_B_OLEDB.SSOleDBGrid.Height, Single  
325. SSDataWidgets_B_OLEDB.SSOleDBGrid.Left, Single  
326. SSDataWidgets_B_OLEDB.SSOleDBGrid.Name, String  
327. SSDataWidgets_B_OLEDB.SSOleDBGrid.TabIndex, Integer  
328. SSDataWidgets_B_OLEDB.SSOleDBGrid.Value, Variant  
329. SSDataWidgets_B_OLEDB.SSOleDBGrid.Visible, Boolean  
330. SSDataWidgets_B_OLEDB.SSOleDBGrid.Width, Single  
331. TabDlg.SSTab.BackColor, Long  
332. TabDlg.SSTab.Enabled, Boolean  
333. TabDlg.SSTab.Font, StdFont  
334. TabDlg.SSTab.ForeColor, Long  
335. TabDlg.SSTab.Height, Single  
336. TabDlg.SSTab.Left, Single  
337. TabDlg.SSTab.Name, String  
338. TabDlg.SSTab.TabIndex, Integer  
339. TabDlg.SSTab.Text, String  
340. TabDlg.SSTab.Top, Single  
341. TabDlg.SSTab.Value, Variant  
342. TabDlg.SSTab.Visible, Boolean  
343. TabDlg.SSTab.Width, Single  
344. VB.CheckBox.Enabled, Boolean  
345. VB.CheckBox.Font, StdFont  
346. VB.CheckBox.Height, Single  
347. VB.CheckBox.Left, Single  
348. VB.CheckBox.Name, String  
349. VB.CheckBox.TabIndex, Integer  
350. VB.CheckBox.Value, Variant  
351. VB.CheckBox.Visible, Boolean  
352. VB.CheckBox.Width, Single  
353. VB.ComboBox.Enabled, Boolean  
354. VB.ComboBox.Font, StdFont  
355. VB.ComboBox.Height, Single  
356. VB.ComboBox.Left, Single  
357. VB.ComboBox.Name, String  
358. VB.ComboBox.TabIndex, Integer  
359. VB.ComboBox.Value, Variant  
360. VB.ComboBox.Visible, Boolean  
361. VB.ComboBox.Width, Single  
362. VB.CommandButton.Enabled, Boolean  
363. VB.CommandButton.Font, StdFont  
364. VB.CommandButton.Height, Single  
365. VB.CommandButton.Left, Single  
366. VB.CommandButton.Name, String  
367. VB.CommandButton.TabIndex, Integer  
368. VB.CommandButton.Value, Variant  
369. VB.CommandButton.Visible, Boolean  
370. VB.CommandButton.Width, Single  
371. VB.DirListBox.Enabled, Boolean  
372. VB.DirListBox.Font, StdFont  
373. VB.DirListBox.Height, Single  
374. VB.DirListBox.Left, Single  
375. VB.DirListBox.Name, String  
376. VB.DirListBox.TabIndex, Integer  
377. VB.DirListBox.Value, Variant  
378. VB.DirListBox.Visible, Boolean  
379. VB.DirListBox.Width, Single  
380. VB.DriveListBox.Caption, String  
381. VB.DriveListBox.Enabled, Boolean  
382. VB.DriveListBox.Font, StdFont  
383. VB.DriveListBox.Height, Single  
384. VB.DriveListBox.Left, Single  
385. VB.DriveListBox.Name, String  
386. VB.DriveListBox.TabIndex, Integer  
387. VB.DriveListBox.Value, Variant  
388. VB.DriveListBox.Visible, Boolean  
389. VB.DriveListBox.Width, Single  
390. VB.FileListBox.Caption, String  
391. VB.FileListBox.Enabled, Boolean  
392. VB.FileListBox.Font, StdFont  
393. VB.FileListBox.Height, Single  
394. VB.FileListBox.Left, Single  
395. VB.FileListBox.Name, String  
396. VB.FileListBox.TabIndex, Integer  
397. VB.FileListBox.Value, Variant  
398. VB.FileListBox.Visible, Boolean  
399. VB.FileListBox.Width, Single  
400. VB.Form.BackColor, Long  
401. VB.Form.Enabled, Boolean  
402. VB.Form.Font, StdFont  
403. VB.Form.Height, Single  
404. VB.Form.Left, Single  
405. VB.Form.Name, String  
406. VB.Form.TabIndex, Integer  
407. VB.Form.Top, Single  
408. VB.Form.Value, Variant  
409. VB.Form.Visible, Boolean  
410. VB.Form.Width, Single  
411. VB.Frame.Enabled, Boolean  
412. VB.Frame.Font, StdFont  
413. VB.Frame.Height, Single  
414. VB.Frame.Left, Single  
415. VB.Frame.Name, String  
416. VB.Frame.TabIndex, Integer  
417. VB.Frame.Top, Single  
418. VB.Frame.Value, Variant  
419. VB.Frame.Visible, Boolean  
420. VB.Frame.Width, Single  
421. VB.HScrollBar.Caption, String  
422. VB.HScrollBar.Enabled, Boolean  
423. VB.HScrollBar.Font, StdFont  
424. VB.HScrollBar.Height, Single  
425. VB.HScrollBar.Left, Single  
426. VB.HScrollBar.Name, String  
427. VB.HScrollBar.TabIndex, Integer  
428. VB.HScrollBar.Value, Variant  
429. VB.HScrollBar.Visible, Boolean  
430. VB.HScrollBar.Width, Single  
431. VB.Image.BackColor, Long  
432. VB.Image.Enabled, Boolean  
433. VB.Image.Font, StdFont  
434. VB.Image.Height, Single  
435. VB.Image.Left, Single  
436. VB.Image.Name, String  
437. VB.Image.TabIndex, Integer  
438. VB.Image.Value, Variant  
439. VB.Image.Visible, Boolean  
440. VB.Image.Width, Single  
441. VB.Label.Enabled, Boolean  
442. VB.Label.Font, StdFont  
443. VB.Label.Height, Single  
444. VB.Label.Left, Single  
445. VB.Label.Name, String  
446. VB.Label.TabIndex, Integer  
447. VB.Label.Text, String  
448. VB.Label.Top, Single  
449. VB.Label.Value, Variant  
450. VB.Label.Visible, Boolean  
451. VB.Label.Width, Single  
452. VB.Line.BackColor, Long  
453. VB.Line.Caption, String  
454. VB.Line.Enabled, Boolean  
455. VB.Line.Font, StdFont  
456. VB.Line.Height, Single  
457. VB.Line.Left, Single  
458. VB.Line.Name, String  
459. VB.Line.TabIndex, Integer  
460. VB.Line.Value, Variant  
461. VB.Line.Visible, Boolean  
462. VB.Line.Width, Single  
463. VB.ListBox.Enabled, Boolean  
464. VB.ListBox.Font, StdFont  
465. VB.ListBox.Height, Single  
466. VB.ListBox.Left, Single  
467. VB.ListBox.Name, String  
468. VB.ListBox.TabIndex, Integer  
469. VB.ListBox.Value, Variant  
470. VB.ListBox.Visible, Boolean  
471. VB.ListBox.Width, Single  
472. VB.MDIForm.Enabled, Boolean  
473. VB.MDIForm.Font, StdFont  
474. VB.MDIForm.Height, Single  
475. VB.MDIForm.Left, Single  
476. VB.MDIForm.Name, String  
477. VB.MDIForm.TabIndex, Integer  
478. VB.MDIForm.Value, Variant  
479. VB.MDIForm.Visible, Boolean  
480. VB.MDIForm.Width, Single  
481. VB.Menu.Enabled, Boolean  
482. VB.Menu.Font, StdFont  
483. VB.Menu.Height, Single  
484. VB.Menu.Left, Single  
485. VB.Menu.Name, String  
486. VB.Menu.TabIndex, Integer  
487. VB.Menu.Value, Variant  
488. VB.Menu.Visible, Boolean  
489. VB.Menu.Width, Single  
490. VB.OptionButton.Enabled, Boolean  
491. VB.OptionButton.Font, StdFont  
492. VB.OptionButton.Height, Single  
493. VB.OptionButton.Left, Single  
494. VB.OptionButton.Name, String  
495. VB.OptionButton.TabIndex, Integer  
496. VB.OptionButton.Value, Variant  
497. VB.OptionButton.Visible, Boolean  
498. VB.OptionButton.Width, Single  
499. VB.PictureBox.Caption, String  
500. VB.PictureBox.Enabled, Boolean  
501. VB.PictureBox.Font, StdFont  
502. VB.PictureBox.Height, Single  
503. VB.PictureBox.Left, Single  
504. VB.PictureBox.Name, String  
505. VB.PictureBox.TabIndex, Integer  
506. VB.PictureBox.Value, Variant  
507. VB.PictureBox.Visible, Boolean  
508. VB.PictureBox.Width, Single  
509. VB.TextBox.Enabled, Boolean  
510. VB.TextBox.Font, StdFont  
511. VB.TextBox.Height, Single  
512. VB.TextBox.Left, Single  
513. VB.TextBox.Name, String  
514. VB.TextBox.TabIndex, Integer  
515. VB.TextBox.Value, Variant  
516. VB.TextBox.Visible, Boolean  
517. VB.TextBox.Width, Single  
518. VB.Timer.Caption, String  
519. VB.Timer.Enabled, Boolean  
520. VB.Timer.Font, StdFont  
521. VB.Timer.Height, Single  
522. VB.Timer.Left, Single  
523. VB.Timer.Name, String  
524. VB.Timer.TabIndex, Integer  
525. VB.Timer.Value, Variant  
526. VB.Timer.Visible, Boolean  
527. VB.Timer.Width, Single  
528. VB.VScrollBar.Caption, String  
529. VB.VScrollBar.Enabled, Boolean  
530. VB.VScrollBar.Font, StdFont  
531. VB.VScrollBar.Height, Single  
532. VB.VScrollBar.Left, Single  
533. VB.VScrollBar.Name, String  
534. VB.VScrollBar.TabIndex, Integer  
535. VB.VScrollBar.Value, Variant  
536. VB.VScrollBar.Visible, Boolean  
537. VB.VScrollBar.Width, Single  
538. Property.BackColor, Long  
539. Property.Caption, String  
540. Property.ConnectionString, String  
541. Property.Enabled, Boolean  
542. Property.Font, StdFont  
543. Property.ForeColor, Long  
544. Property.Height, Single  
545. Property.Left, Single  
546. Property.Name, String  
547. Property.TabIndex, Integer  
548. Property.Text, String  
549. Property.Top, Single  
550. Property.Value, Variant  
551. Property.Visible, Boolean
